品名,CAS号
4-氯硝基苯,100-00-5
4-硝基苯胺,100-01-6
4-硝基苯酚,100-02-7
甲氧基苯甲酰氯,100-07-2
4-硝基溴化苄,100-11-8
对硝基乙苯,100-12-9
4-硝基氯化苄,100-14-1
4-硝基苯肼,100-16-3
4-硝基苯甲醚,100-17-4
对苯二甲酰氯,100-20-9
"4-硝基-N,N-二甲基苯胺",100-23-2
"1,4-二硝基苯",100-25-4
异氰酸对硝基苯酯,100-28-7
4-硝基苯乙醚,100-29-8
"N,N-二乙基乙撑二胺",100-36-7
"N,N-二乙基乙醇胺",100-37-8
溴化苄,100-39-0
4-乙烯-1-环己烯,100-40-3
乙苯,100-41-4
苯乙烯[稳定的],100-42-5
4-乙烯基吡啶,100-43-6
氯化苄,100-44-7
芐胺,100-46-9
苯甲腈,100-47-0
"1,2,3,6-四氢化苯甲醛",100-50-5
苄硫醇,100-53-8
氯化苯汞,100-56-1
苯基氢氧化汞,100-57-2
苯基溴化镁[浸在乙醚中的],100-58-3
N-甲基苯胺,100-61-8
苯肼,100-63-0
苯甲醚,100-66-3
2-乙烯基吡啶,100-69-6
2-乙基吡啶,100-71-0
二聚丙烯醛[稳定的],100-73-2
N-乙基吗啉,100-74-3
六亚甲基四胺,100-97-0
三异丁基铝,100-99-2
硝酸正戊酯,1002-16-0
硝酸钡,10022-31-8
一氧化二氮[压缩的或液化的],10024-97-2
一氯化硫,10025-67-9
氯化硒,10025-68-0
三氯硅烷,10025-78-2
三氯氧磷,10025-87-3
三氯化锑,10025-91-9
四氯化硒,10026-03-6
四氯化硅,10026-04-7
四氯化锡五水合物,10026-06-9
四氯化碲,10026-07-0
四氯化锆,10026-11-6
五氯化铌,10026-12-7
五氯化磷,10026-13-8
氟化亚钴,10026-17-2
氟化钴,10026-18-3
环戊胺,1003-03-8
亚砷酸铅,10031-13-7
溴化亚汞,10031-18-2
硝酸铜,10031-43-3
乙酸乙基丁酯,10031-87-5
高氯酸镁,10034-81-8
碘化氢[无水],10034-85-2
氢碘酸,10034-85-2
氢溴酸,10035-10-6
溴化氢,10035-10-6
四氟代肼,10036-47-2
四氯化锗,10038-98-9
硫酸羟胺,10039-54-0
硝酸锶,10042-76-9
硼酸,10043-35-3
硝酸汞,10045-94-0
二氧化氯,10049-04-4
硝酸镧,10099-59-9
硝酸镥,10099-67-9
硝酸铅,10099-74-8
